"region"	"year"	Population
"SKL01 metropolitan municipalities (3 municipalities)"	"1968"	1474910
"SKL01 metropolitan municipalities (3 municipalities)"	"1969"	1473764
"SKL01 metropolitan municipalities (3 municipalities)"	"1970"	1475002
"SKL01 metropolitan municipalities (3 municipalities)"	"1971"	1456193
"SKL01 metropolitan municipalities (3 municipalities)"	"1972"	1416838
"SKL01 metropolitan municipalities (3 municipalities)"	"1973"	1382219
"SKL01 metropolitan municipalities (3 municipalities)"	"1974"	1363577
"SKL01 metropolitan municipalities (3 municipalities)"	"1975"	1353444
"SKL01 metropolitan municipalities (3 municipalities)"	"1976"	1343888
"SKL01 metropolitan municipalities (3 municipalities)"	"1977"	1336971
"SKL01 metropolitan municipalities (3 municipalities)"	"1978"	1327630
"SKL01 metropolitan municipalities (3 municipalities)"	"1979"	1319194
"SKL01 metropolitan municipalities (3 municipalities)"	"1980"	1312290
"SKL01 metropolitan municipalities (3 municipalities)"	"1981"	1306818
"SKL01 metropolitan municipalities (3 municipalities)"	"1982"	1305942
"SKL01 metropolitan municipalities (3 municipalities)"	"1983"	1304518
"SKL01 metropolitan municipalities (3 municipalities)"	"1984"	1306647
"SKL01 metropolitan municipalities (3 municipalities)"	"1985"	1314461
"SKL01 metropolitan municipalities (3 municipalities)"	"1986"	1322612
"SKL01 metropolitan municipalities (3 municipalities)"	"1987"	1329169
"SKL01 metropolitan municipalities (3 municipalities)"	"1988"	1331823
"SKL01 metropolitan municipalities (3 municipalities)"	"1989"	1336935
"SKL01 metropolitan municipalities (3 municipalities)"	"1990"	1341381
"SKL01 metropolitan municipalities (3 municipalities)"	"1991"	1346272
"SKL01 metropolitan municipalities (3 municipalities)"	"1992"	1355071
"SKL01 metropolitan municipalities (3 municipalities)"	"1993"	1367705
"SKL01 metropolitan municipalities (3 municipalities)"	"1994"	1390886
"SKL01 metropolitan municipalities (3 municipalities)"	"1995"	1406007
"SKL01 metropolitan municipalities (3 municipalities)"	"1996"	1420485
"SKL01 metropolitan municipalities (3 municipalities)"	"1997"	1435358
"SKL01 metropolitan municipalities (3 municipalities)"	"1998"	1450610
"SKL01 metropolitan municipalities (3 municipalities)"	"1999"	1463747
"SKL01 metropolitan municipalities (3 municipalities)"	"2000"	1476917
"SKL01 metropolitan municipalities (3 municipalities)"	"2001"	1488612
"SKL01 metropolitan municipalities (3 municipalities)"	"2002"	1498550
"SKL01 metropolitan municipalities (3 municipalities)"	"2003"	1506947
