year	baseline_proj_pop
2020	1.0000000
2021	1.0087861
2022	1.0173381
2023	1.0256066
2024	1.0335417
2025	1.0411013
2026	1.0483314
2027	1.0553650
2028	1.0621893
2029	1.0688039
2030	1.0752155
2031	1.0814398
2032	1.0874959
2033	1.0934060
2034	1.0991978
2035	1.1048969
2036	1.1105307
2037	1.1161214
2038	1.1216857
2039	1.1272387
2040	1.1327920
2041	1.1383469
2042	1.1439033
2043	1.1494533
2044	1.1549883
2045	1.1604977
2046	1.1659675
2047	1.1713818
2048	1.1767212
2049	1.1819691
2050	1.1871087
2051	1.1921286
2052	1.1970156
2053	1.2017621
2054	1.2063635
2055	1.2108223
2056	1.2151365
2057	1.2193141
2058	1.2233619
2059	1.2272901
2060	1.2311083
2061	1.2348305
2062	1.2384667
2063	1.2420325
2064	1.2455374
2065	1.2489913
2066	1.2524046
2067	1.2557803
2068	1.2591208
2069	1.2624221
2070	1.2656766
2071	1.2688770
2072	1.2720121
2073	1.2750734
2074	1.2780513
2075	1.2809332
2076	1.2837066
2077	1.2863655
2078	1.2888966
2079	1.2912951
2080	1.2935580
2081	1.2956895
2082	1.2976951
2083	1.2995834
2084	1.3013635
2085	1.3030493
2086	1.3046544
2087	1.3061949
2088	1.3076892
2089	1.3091495
2090	1.3105857
2091	1.3120052
2092	1.3134151
2093	1.3148126
2094	1.3161900
2095	1.3175357
2096	1.3188355
2097	1.3200746
2098	1.3212393
2099	1.3223149
2100	1.3232937
