	social change	current values	scenario_bas
year	hh_size_proj	hh_size_proj	hh_size_proj
2020.00	1.000	1.0	1.00
2021.00	1.010	1.0	1.00
2022.00	1.020	1.0	1.00
2023.00	1.030	1.0	1.00
2024.00	1.040	1.0	1.00
2025.00	1.050	1.0	1.00
2026.00	1.060	1.0	1.00
2027.00	1.070	1.0	1.00
2028.00	1.080	1.0	1.00
2029.00	1.090	1.0	1.00
2030.00	1.100	1.0	1.00
2031.00	1.110	1.0	1.00
2032.00	1.120	1.0	1.00
2033.00	1.130	1.0	1.00
2034.00	1.140	1.0	1.00
2035.00	1.150	1.0	1.00
2036.00	1.160	1.0	1.00
2037.00	1.170	1.0	1.00
2038.00	1.180	1.0	1.00
2039.00	1.190	1.0	1.00
2040.00	1.200	1.0	1.00
2041.00	1.200	1.0	1.00
2042.00	1.200	1.0	1.00
2043.00	1.200	1.0	1.00
2044.00	1.200	1.0	1.00
2045.00	1.200	1.0	1.00
2046.00	1.200	1.0	1.00
2047.00	1.200	1.0	1.00
2048.00	1.200	1.0	1.00
2049.00	1.200	1.0	1.00
2050.00	1.200	1.0	1.00
2051.00	1.200	1.0	1.00
2052.00	1.200	1.0	1.00
2053.00	1.200	1.0	1.00
2054.00	1.200	1.0	1.00
2055.00	1.200	1.0	1.00
2056.00	1.200	1.0	1.00
2057.00	1.200	1.0	1.00
2058.00	1.200	1.0	1.00
2059.00	1.200	1.0	1.00
2060.00	1.200	1.0	1.00
2061.00	1.200	1.0	1.00
2062.00	1.200	1.0	1.00
2063.00	1.200	1.0	1.00
2064.00	1.200	1.0	1.00
2065.00	1.200	1.0	1.00
2066.00	1.200	1.0	1.00
2067.00	1.200	1.0	1.00
2068.00	1.200	1.0	1.00
2069.00	1.200	1.0	1.00
2070.00	1.200	1.0	1.00
2071.00	1.200	1.0	1.00
2072.00	1.200	1.0	1.00
2073.00	1.200	1.0	1.00
2074.00	1.200	1.0	1.00
2075.00	1.200	1.0	1.00
2076.00	1.200	1.0	1.00
2077.00	1.200	1.0	1.00
2078.00	1.200	1.0	1.00
2079.00	1.200	1.0	1.00
2080.00	1.200	1.0	1.00
2081.00	1.200	1.0	1.00
2082.00	1.200	1.0	1.00
2083.00	1.200	1.0	1.00
2084.00	1.200	1.0	1.00
2085.00	1.200	1.0	1.00
2086.00	1.200	1.0	1.00
2087.00	1.200	1.0	1.00
2088.00	1.200	1.0	1.00
2089.00	1.200	1.0	1.00
2090.00	1.200	1.0	1.00
2091.00	1.200	1.0	1.00
2092.00	1.200	1.0	1.00
2093.00	1.200	1.0	1.00
2094.00	1.200	1.0	1.00
2095.00	1.200	1.0	1.00
2096.00	1.200	1.0	1.00
2097.00	1.200	1.0	1.00
2098.00	1.200	1.0	1.00
2099.00	1.200	1.0	1.00
2100.00	1.200	1.0	1.00
