"region"	"type of building"	"period of construction"	"year"	Number of dwellings
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"-1930"	"2013"	17785
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"-1930"	"2014"	17871
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"-1930"	"2015"	17866
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"-1930"	"2016"	17936
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"-1930"	"2017"	17961
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"-1930"	"2018"	17776
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"-1930"	"2019"	17938
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"-1930"	"2020"	17962
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"-1930"	"2021"	17879
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1931-1940"	"2013"	12450
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1931-1940"	"2014"	12443
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1931-1940"	"2015"	12478
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1931-1940"	"2016"	12443
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1931-1940"	"2017"	12434
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1931-1940"	"2018"	12440
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1931-1940"	"2019"	12417
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1931-1940"	"2020"	12424
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1931-1940"	"2021"	12394
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1941-1950"	"2013"	10654
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1941-1950"	"2014"	10650
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1941-1950"	"2015"	10606
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1941-1950"	"2016"	10581
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1941-1950"	"2017"	10619
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1941-1950"	"2018"	10602
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1941-1950"	"2019"	10576
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1941-1950"	"2020"	10591
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1941-1950"	"2021"	10570
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1951-1960"	"2013"	10995
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1951-1960"	"2014"	10989
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1951-1960"	"2015"	10991
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1951-1960"	"2016"	10933
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1951-1960"	"2017"	10905
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1951-1960"	"2018"	10911
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1951-1960"	"2019"	10921
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1951-1960"	"2020"	10928
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1951-1960"	"2021"	10900
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1961-1970"	"2013"	20499
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1961-1970"	"2014"	20489
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1961-1970"	"2015"	20514
"SKL01 metropolitan municipalities (3 municipalities)"	"one- or two-dwelling buildings"	"1961-1970"	"2016"	20474
