municipality	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
SKL01 metropolitan municipalities (3 municipalities)	14163	15579	16996	18412	19828	21245	22661	24077	25494	26910	28326	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742	29742
SKL02 suburban municipalities (38 municipalities)	15599	17159	18719	20279	21839	23399	24958	26518	28078	29638	31198	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758	32758
SKL03 large cities (31 municipalities)	23701	26071	28441	30811	33182	35552	37922	40292	42662	45032	47402	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772	49772
SKL04 suburban municipalities to large cities (22 municipalities)	2231	2454	2678	2901	3124	3347	3570	3793	4016	4240	4463	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686	4686
SKL05 commuter municipalities (51 municipalities)	4060	4466	4872	5278	5684	6090	6496	6902	7308	7715	8121	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527	8527
SKL06 tourism and travel industry municipalities (20 municipalities)	1904	2095	2285	2476	2666	2856	3047	3237	3428	3618	3809	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999	3999
SKL07 manufacturing municipalities (54 municipalities)	2595	2854	3113	3373	3632	3892	4151	4411	4670	4930	5189	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449	5449
SKL08 sparsely populated municipalities (20 municipalities)	394	433	473	512	551	591	630	670	709	748	788	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827	827
SKL09 municipalities in densely populated regions (35 municipalities)	4135	4549	4962	5376	5789	6203	6616	7030	7444	7857	8271	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684	8684
SKL10 municipalities in sparsely populated regions (16 municipalities)	1217	1339	1461	1582	1704	1826	1947	2069	2191	2313	2434	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556	2556
