mun_code	Kommun	municipality	mun_group_num	Kommungrupp_namn	region	mun_group_sum
0180	Stockholm	0180 Stockholm	1	Storstäder	SKL01 metropolitan municipalities (3 municipalities)	metropolitan
1280	Malmö	1280 Malmö	1	Storstäder	SKL01 metropolitan municipalities (3 municipalities)	metropolitan
1480	Göteborg	1480 Göteborg	1	Storstäder	SKL01 metropolitan municipalities (3 municipalities)	metropolitan
0114	Upplands Väsby	0114 Upplands Väsby	2	Förortskommuner till storstäderna	SKL02 suburban municipalities (38 municipalities)	suburban
0115	Vallentuna	0115 Vallentuna	2	Förortskommuner till storstäderna	SKL02 suburban municipalities (38 municipalities)	suburban
0117	Österåker	0117 Österåker	2	Förortskommuner till storstäderna	SKL02 suburban municipalities (38 municipalities)	suburban
0120	Värmdö	0120 Värmdö	2	Förortskommuner till storstäderna	SKL02 suburban municipalities (38 municipalities)	suburban
0123	Järfälla	0123 Järfälla	2	Förortskommuner till storstäderna	SKL02 suburban municipalities (38 municipalities)	suburban
0125	Ekerö	0125 Ekerö	2	Förortskommuner till storstäderna	SKL02 suburban municipalities (38 municipalities)	suburban
0126	Huddinge	0126 Huddinge	2	Förortskommuner till storstäderna	SKL02 suburban municipalities (38 municipalities)	suburban
0127	Botkyrka	0127 Botkyrka	2	Förortskommuner till storstäderna	SKL02 suburban municipalities (38 municipalities)	suburban
0128	Salem	0128 Salem	2	Förortskommuner till storstäderna	SKL02 suburban municipalities (38 municipalities)	suburban
0136	Haninge	0136 Haninge	2	Förortskommuner till storstäderna	SKL02 suburban municipalities (38 municipalities)	suburban
0138	Tyresö	0138 Tyresö	2	Förortskommuner till storstäderna	SKL02 suburban municipalities (38 municipalities)	suburban
0139	Upplands-Bro	0139 Upplands-Bro	2	Förortskommuner till storstäderna	SKL02 suburban municipalities (38 municipalities)	suburban
0160	Täby	0160 Täby	2	Förortskommuner till storstäderna	SKL02 suburban municipalities (38 municipalities)	suburban
0162	Danderyd	0162 Danderyd	2	Förortskommuner till storstäderna	SKL02 suburban municipalities (38 municipalities)	suburban
0163	Sollentuna	0163 Sollentuna	2	Förortskommuner till storstäderna	SKL02 suburban municipalities (38 municipalities)	suburban
0182	Nacka	0182 Nacka	2	Förortskommuner till storstäderna	SKL02 suburban municipalities (38 municipalities)	suburban
0183	Sundbyberg	0183 Sundbyberg	2	Förortskommuner till storstäderna	SKL02 suburban municipalities (38 municipalities)	suburban
0184	Solna	0184 Solna	2	Förortskommuner till storstäderna	SKL02 suburban municipalities (38 municipalities)	suburban
0186	Lidingö	0186 Lidingö	2	Förortskommuner till storstäderna	SKL02 suburban municipalities (38 municipalities)	suburban
0187	Vaxholm	0187 Vaxholm	2	Förortskommuner till storstäderna	SKL02 suburban municipalities (38 municipalities)	suburban
0192	Nynäshamn	0192 Nynäshamn	2	Förortskommuner till storstäderna	SKL02 suburban municipalities (38 municipalities)	suburban
0305	Håbo	0305 Håbo	2	Förortskommuner till storstäderna	SKL02 suburban municipalities (38 municipalities)	suburban
1230	Staffanstorp	1230 Staffanstorp	2	Förortskommuner till storstäderna	SKL02 suburban municipalities (38 municipalities)	suburban
1231	Burlöv	1231 Burlöv	2	Förortskommuner till storstäderna	SKL02 suburban municipalities (38 municipalities)	suburban
1233	Vellinge	1233 Vellinge	2	Förortskommuner till storstäderna	SKL02 suburban municipalities (38 municipalities)	suburban
