year	period of construction
1930	-1930
1931	1931-1940
1932	1931-1940
1933	1931-1940
1934	1931-1940
1935	1931-1940
1936	1931-1940
1937	1931-1940
1938	1931-1940
1939	1931-1940
1940	1941-1950
1941	1941-1950
1942	1941-1950
1943	1941-1950
1944	1941-1950
1945	1941-1950
1946	1941-1950
1947	1941-1950
1948	1941-1950
1949	1941-1950
1950	1941-1950
1951	1951-1960
1952	1951-1960
1953	1951-1960
1954	1951-1960
1955	1951-1960
1956	1951-1960
1957	1951-1960
1958	1951-1960
1959	1951-1960
1960	1951-1960
1961	1961-1970
1962	1961-1970
1963	1961-1970
1964	1961-1970
1965	1961-1970
1966	1961-1970
1967	1961-1970
1968	1961-1970
1969	1961-1970
1970	1961-1970
1971	1971-1980
1972	1971-1980
1973	1971-1980
1974	1971-1980
1975	1971-1980
1976	1971-1980
1977	1971-1980
1978	1971-1980
1979	1971-1980
1980	1971-1980
1981	1981-1990
1982	1981-1990
1983	1981-1990
1984	1981-1990
1985	1981-1990
1986	1981-1990
1987	1981-1990
1988	1981-1990
1989	1981-1990
1990	1981-1990
1991	1991-2000
1992	1991-2000
1993	1991-2000
1994	1991-2000
1995	1991-2000
1996	1991-2000
1997	1991-2000
1998	1991-2000
1999	1991-2000
2000	1991-2000
2001	2001-2010
2002	2001-2010
2003	2001-2010
2004	2001-2010
2005	2001-2010
2006	2001-2010
2007	2001-2010
2008	2001-2010
2009	2001-2010
2010	2001-2010
2011	2011-2020
2012	2011-2020
2013	2011-2020
2014	2011-2020
2015	2011-2020
2016	2011-2020
2017	2011-2020
2018	2011-2020
2019	2011-2020
2020	2011-2020
