type of dwelling	cohort	Solid wood	Wood products	Bitumen	Mineral wool	EPS	Ceramics and brick	Concrete	Stone and gravel	Gypsum	Glass	Steel	Copper	Peat	Wood wool	Cooke ash	Slag	Reed
houses	1890	121	72						741		2	9						
houses	1900	112	6				34	44	561		3			54				
houses	1910	103	33	2			44	17	722		2							
houses	1920	108	33	6			19	289	123		3							
houses	1930	107	10	4				269	98	22	2		9	69				
houses	1940	80	23		8		15	250			2	23		54				
houses	1950	35	8		25		116	499		10	1	106			5			
houses	1960	39	14		28			369		7	1	81						
houses	1970	38	20		51			178		23	1	48						
houses	1980	36	18	3	74	1		294		28	4	63						
houses	1990	35	15		52	3		183		25	2	64						
houses	2000	30	17		47	11		176		50	2	15						
flats	1890	136	51	3			550	56	302		4	21					116	
flats	1900	122	35				609	142	202		4	73						
flats	1910	71	1				836	154	375		3	30						
flats	1920	89	22	6			394	302	112		3	59				165		0
flats	1930	86	15	5			352	281	62		5	68				127		
flats	1940	46	15				251	529	44		4	123				80	30	
flats	1950	18			5			687		9	4	75				70	21	
flats	1960	10	6		9	1	105	741	33	30	3	128						
flats	1970	11	5		14	2	55	734		33	4	127						
flats	1980	16	3		23	1		741		10	4	190						
flats	1990	24	9		62	1		594		25	5	310						
flats	2000	27	0		44	1		654		18	2	197						
