"year"	"region"	"type of vehicle"	Vehicles in use
"2002"	"00 Sweden"	"passenger cars"	4042792
"2002"	"01 Stockholm county"	"passenger cars"	738471
"2002"	"03 Uppsala county"	"passenger cars"	132325
"2002"	"04 Södermanland county"	"passenger cars"	120562
"2002"	"05 Östergötland county"	"passenger cars"	182474
"2002"	"06 Jönköping county"	"passenger cars"	154012
"2002"	"07 Kronoberg county"	"passenger cars"	85982
"2002"	"08 Kalmar county"	"passenger cars"	113973
"2002"	"09 Gotland county"	"passenger cars"	30413
"2002"	"10 Blekinge county"	"passenger cars"	74251
"2002"	"12 Skåne county"	"passenger cars"	517569
"2002"	"13 Halland county"	"passenger cars"	137367
"2002"	"14 Västra Götaland county"	"passenger cars"	664770
"2002"	"15 former Älvsborg county"	"passenger cars"	0
"2002"	"16 former Skaraborg county"	"passenger cars"	0
"2002"	"17 Värmland county"	"passenger cars"	137568
"2002"	"18 Örebro county"	"passenger cars"	126283
"2002"	"19 Västmanland county"	"passenger cars"	118979
"2002"	"20 Dalarna county"	"passenger cars"	143096
"2002"	"21 Gävleborg county"	"passenger cars"	134632
"2002"	"22 Västernorrland county"	"passenger cars"	120783
"2002"	"23 Jämtland county"	"passenger cars"	65077
"2002"	"24 Västerbotten county"	"passenger cars"	116719
"2002"	"25 Norrbotten county"	"passenger cars"	127477
"2002"	"0114 Upplands Väsby"	"passenger cars"	16505
"2002"	"0115 Vallentuna"	"passenger cars"	11645
"2002"	"0117 Österåker"	"passenger cars"	15859
"2002"	"0120 Värmdö"	"passenger cars"	13895
"2002"	"0123 Järfälla"	"passenger cars"	23521
"2002"	"0125 Ekerö"	"passenger cars"	10248
"2002"	"0126 Huddinge"	"passenger cars"	31643
"2002"	"0127 Botkyrka"	"passenger cars"	24334
"2002"	"0128 Salem"	"passenger cars"	5303
"2002"	"0136 Haninge"	"passenger cars"	25996
"2002"	"0138 Tyresö"	"passenger cars"	15126
"2002"	"0139 Upplands-Bro"	"passenger cars"	8524
"2002"	"0140 Nykvarn"	"passenger cars"	3856
"2002"	"0160 Täby"	"passenger cars"	26660
"2002"	"0162 Danderyd"	"passenger cars"	14019
"2002"	"0163 Sollentuna"	"passenger cars"	23797
"2002"	"0180 Stockholm"	"passenger cars"	279884
"2002"	"0181 Södertälje"	"passenger cars"	33247
"2002"	"0182 Nacka"	"passenger cars"	32622
"2002"	"0183 Sundbyberg"	"passenger cars"	10481
"2002"	"0184 Solna"	"passenger cars"	38918
"2002"	"0186 Lidingö"	"passenger cars"	16530
"2002"	"0187 Vaxholm"	"passenger cars"	3932
"2002"	"0188 Norrtälje"	"passenger cars"	26806
"2002"	"0191 Sigtuna"	"passenger cars"	15095
"2002"	"0192 Nynäshamn"	"passenger cars"	10024
"2002"	"0305 Håbo"	"passenger cars"	8874
"2002"	"0319 Älvkarleby"	"passenger cars"	4363
"2002"	"0330 Knivsta"	"passenger cars"	0
"2002"	"0331 Heby"	"passenger cars"	0
"2002"	"0360 Tierp"	"passenger cars"	10087
"2002"	"0380 Uppsala"	"passenger cars"	79835
"2002"	"0381 Enköping"	"passenger cars"	18395
"2002"	"0382 Östhammar"	"passenger cars"	10771
"2002"	"0428 Vingåker"	"passenger cars"	4634
"2002"	"0461 Gnesta"	"passenger cars"	4875
"2002"	"0480 Nyköping"	"passenger cars"	24311
"2002"	"0481 Oxelösund"	"passenger cars"	5008
"2002"	"0482 Flen"	"passenger cars"	8200
"2002"	"0483 Katrineholm"	"passenger cars"	14542
"2002"	"0484 Eskilstuna"	"passenger cars"	39372
"2002"	"0486 Strängnäs"	"passenger cars"	14470
"2002"	"0488 Trosa"	"passenger cars"	5150
"2002"	"0509 Ödeshög"	"passenger cars"	2857
"2002"	"0512 Ydre"	"passenger cars"	2074
"2002"	"0513 Kinda"	"passenger cars"	5055
"2002"	"0560 Boxholm"	"passenger cars"	2695
"2002"	"0561 Åtvidaberg"	"passenger cars"	5716
"2002"	"0562 Finspång"	"passenger cars"	10296
"2002"	"0563 Valdemarsvik"	"passenger cars"	4116
"2002"	"0580 Linköping"	"passenger cars"	55949
"2002"	"0581 Norrköping"	"passenger cars"	51272
"2002"	"0582 Söderköping"	"passenger cars"	6987
"2002"	"0583 Motala"	"passenger cars"	19447
"2002"	"0584 Vadstena"	"passenger cars"	3560
"2002"	"0586 Mjölby"	"passenger cars"	12450
"2002"	"0604 Aneby"	"passenger cars"	3326
"2002"	"0617 Gnosjö"	"passenger cars"	4935
"2002"	"0642 Mullsjö"	"passenger cars"	3274
"2002"	"0643 Habo"	"passenger cars"	4810
"2002"	"0662 Gislaved"	"passenger cars"	14918
"2002"	"0665 Vaggeryd"	"passenger cars"	6099
"2002"	"0680 Jönköping"	"passenger cars"	52396
"2002"	"0682 Nässjö"	"passenger cars"	13551
"2002"	"0683 Värnamo"	"passenger cars"	16075
"2002"	"0684 Sävsjö"	"passenger cars"	5368
"2002"	"0685 Vetlanda"	"passenger cars"	13148
"2002"	"0686 Eksjö"	"passenger cars"	7866
"2002"	"0687 Tranås"	"passenger cars"	8246
"2002"	"0760 Uppvidinge"	"passenger cars"	4649
"2002"	"0761 Lessebo"	"passenger cars"	3736
"2002"	"0763 Tingsryd"	"passenger cars"	7025
